"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Billings, MT","13740","0.0194","0.0572","0.0562","0.0078","0.0176","0.0845","-0.0545","-0.0432","0.0402","0.0703","0.0265","0.1097","0.037","-0.0311","-0.0247"
"Binghamton, NY","13780","0.0253","0.0055","0.0247","0.0383","0.0292","0.0548","0.0246","-0.0199","0.0286","-0.0067","-0.0094","-0.0223","-0.0057","0.0038","0.0094"
"Birmingham-Hoover, AL","13820","0.0221","-0.0085","0.0326","0.0139","0.0014","0.0188","-0.0069","-0.0647","0.0219","0.0215","-0.0115","-0.0018","0.0206","0.0048","0.0137"
"Bismarck, ND","13900","0.0392","0.0633","0.0282","0.0226","0.0059","0.0086","0.0213","0.0285","0.0411","0.0344","0.0452","0.1","0.0589","-0.0309","-0.014"
"Blacksburg-Christiansburg-Radford, VA","13980","-0.0114","0.0263","0.0162","0.0648","0.0286","0.0436","-0.058","-0.0723","0.0166","0.0453","-0.01","0.0229","0.0134","-0.0072","0.0057"
"Bloomington, IL","14010","-3e-04","0.0365","0.0192","-0.0368","0.0679","-0.0133","-0.0066","0.0514","0.0057","-0.006","0.0296","0.0259","0.0147","0.0202","-0.0184"
"Bloomington, IN","14020","-0.0035","0.0566","0.0073","0.0299","0.0374","0.0089","0.0129","0.0431","0.0015","0.004","-0.05","0.0095","0.0112","0.0314","0.0473"
"Bloomsburg-Berwick, PA","14100","0.0683","-0.0182","0.0391","0.0042","0.025","0.0402","-0.011","-0.0129","0.0458","0.0205","0.0347","-0.0194","0.0531","0.0014","0.0145"
"Boise City, ID","14260","0.0204","0.0277","0.1215","0.1222","0.0026","0.0435","-0.0123","-0.027","0.0328","0.0043","0.0457","0.0309","0.0159","0.0379","0.0388"
"Boston-Cambridge-Newton, MA-NH","14460","-0.0037","0.0115","0.0237","0.0146","0.0186","0.0221","0.0094","-0.0211","0.0438","0.0199","0.0053","0.0218","0.0439","0.0108","0.0278"
"Boulder, CO","14500","-0.1009","0.0104","0.051","0.0383","0.0261","0.0564","0.0078","-0.0451","0.0606","0.037","-0.0023","0.0491","0.0328","0.0152","0.0307"
"Bowling Green, KY","14540","0.0342","0.0399","0.0308","0.0579","0.0423","0.0154","-0.0087","-0.0677","0.0557","0.0129","0.0367","0.0077","0.0167","0.0261","0.0168"
"Bremerton-Silverdale, WA","14740","0.0604","0.009","0.0011","0.0089","0.0422","-0.0062","-0.0053","-0.0139","0.0066","0.0064","-0.0179","0.0352","0.0122","0.0446","0.0195"
"Bridgeport-Stamford-Norwalk, CT","14860","-0.0268","0.0068","0.0438","0.0193","0.0313","0.0129","-0.0445","-0.0451","0.0648","0.002","-0.0011","0.0062","-0.0154","0.0068","-0.0297"
"Brownsville-Harlingen, TX","15180","0.0376","0.0202","0.011","0.0155","0.0341","0.0407","0.0287","3e-04","0.0314","0.0112","0.0062","0.0096","0.0015","0.0042","-0.0077"
"Brunswick, GA","15260","0.0185","0.0503","0.0402","0.0135","0.0381","-0.0109","-0.0052","-0.0448","-0.0408","-7e-04","-0.0037","-0.0067","0.034","0.0152","0.0068"
"Buffalo-Cheektowaga-Niagara Falls, NY","15380","0.0396","0.0098","0.0128","0.0014","0.026","-0.0036","-0.0155","0.0013","0.018","0.0092","-0.0039","0.0137","0.0154","0.0139","0.0029"
"Burlington-South Burlington, VT","15540","0.0198","0.0446","0.0483","0.0243","0.0261","-0.0153","0.0232","-0.0131","0.081","0.0121","-0.0073","0.0097","0.0121","0.0269","0.0126"
"Burlington, NC","15500","0.0245","-0.0518","0.0228","0.0062","0.0274","-0.0111","-0.0157","-0.075","0.0327","0.0192","-0.0224","-0.0238","-0.0133","0.0371","0.0243"
"California-Lexington Park, MD","15680","0.0629","0.0644","0.0234","-0.0045","0.0358","0.0189","0.0156","0.0494","0.0677","0.0347","0.0033","4e-04","0.0129","0.0132","-4e-04"
"Canton-Massillon, OH","15940","0.0087","-6e-04","0.0026","0.0108","-0.0395","-0.0099","-0.0274","-0.0857","0.0322","0.041","0.0732","0.0368","-0.0072","-0.0431","0.0151"
"Cape Coral-Fort Myers, FL","15980","0.0266","0.0405","0.0818","0.1032","0.033","-0.0234","-0.0701","-0.0871","-0.0033","0.0047","0.0082","0.0564","0.067","0.0296","0.0154"
"Cape Girardeau, MO-IL","16020","0.031","0.0196","-0.005","0.0275","0.0208","0.0272","-0.0017","0.0046","7e-04","3e-04","0.02","0.0121","0.0196","0.0083","-0.0103"
"Carbondale-Marion, IL","16060","0.0306","0.1015","-0.0403","-0.0051","0.0228","-0.0042","0.0229","0.0315","0.0325","-0.0066","-0.0464","-0.0045","0.0054","0.0092","0.0175"
"Carson City, NV","16180","0.013","0.0394","0.0558","0.0561","0.0248","0.0265","-0.0588","-0.0748","-0.0038","-0.01","-0.0759","0.0033","-0.1034","0.0575","0.0593"
"Casper, WY","16220","0.0568","-0.0088","0.0876","-0.0072","0.1134","-0.0046","0.1187","-0.0198","-0.0046","-0.009","-9e-04","0.0583","-0.0565","-0.1223","0.0645"
"Cedar Rapids, IA","16300","-0.0235","0.0715","0.0655","0.0421","-0.015","0.1086","-0.0392","0.025","0.0415","0.0058","-0.0054","0.0162","0.0457","0.0155","-0.0219"
"Chambersburg-Waynesboro, PA","16540","0.0185","0.0579","0.0678","0.0534","0.0331","0.0331","-0.004","-0.0596","0.0122","0.0076","0.0553","0.0168","2e-04","0.0028","0.0252"
"Champaign-Urbana, IL","16580","0.0294","0.1058","-0.0605","-0.0323","0.0312","0.0186","0.0571","0.0136","0.0262","-0.0169","-0.0073","0.0039","0.0093","0.0101","0.0025"
"Charleston-North Charleston, SC","16700","0.0379","0.0385","0.0317","0.0482","0.0178","0.0441","0.0159","-0.0303","0.0347","0.0416","0.0183","0.0372","0.0371","0.0491","0.0423"
"Charleston, WV","16620","0.0062","-0.0155","0.0043","-0.0139","0.0147","0.0077","-0.0259","0.0108","0.017","0.0012","-0.045","-0.0684","0.0201","-0.04","0.0084"
"Charlotte-Concord-Gastonia, NC-SC","16740","0.0641","0.0084","0.0368","0.0928","0.0361","0.0118","-0.0068","-0.0425","0.03","0.0174","0.0098","0.025","0.052","0.0365","0.0354"
