"FIPS","Metro-Name","Population","PCT female","PCT 0-4","PCT 5-9","PCT 10-14","PCT 15-17","PCT 18-24","PCT 25-34","PCT 35-44","PCT 45-54","PCT 55-64","PCT 65-74","PCT 75-84","PCT 85 plus","PCT married","PCT less than HS","PCT BS plus","PCT MS plus","PCT unemployed","Median HH Income","Gini Index","PCT Occupied Housing","Median Gross Rent","Commute under 10","Commute 10-19","Commute 20-29","Commute 30-39","Commute 40-59","Commute 60-89","Commute 90 plus","PCT Health Insured","PCT Public HI","PCT Private HI"
45900,"Traverse City, Michigan",147606,50.47,5.06,5.61,5.75,3.61,7.26,11.56,11.03,13.78,16.11,11.84,5.81,2.57,54.37,6.41,32.03,12.7,5.98,55926,0.4471,71.61,874,15.1,33.27,21.63,12.66,7.1,2.48,1.98,92.29,38.28,73.18
10660,"Albert Lea, Minnesota",30619,49.99,5.62,6.35,6.18,3.75,6.67,11.4,10.61,13.18,14.54,10.99,6.86,3.84,53.82,10.26,16.82,4.7,4.08,51174,0.4159,90.67,642,26.9,37.23,15.29,8.77,4.3,2.88,2.1,93.25,42.6,68.94
10820,"Alexandria, Minnesota",36891,49.83,5.4,6.28,6.29,3.38,7.35,11.49,10.59,12.55,15.08,11.59,6.87,3.14,61.48,5.19,25.17,7.37,3.07,58667,0.444,77.88,737,24.22,38.71,16.66,7.45,2.83,1.88,1.57,96.54,35.68,80.81
12380,"Austin, Minnesota",39386,49.88,6.42,7.22,6.73,4.37,7.81,12.02,11.61,12.49,13.06,8.67,6.22,3.38,52.8,13.41,20.69,6.69,4.99,53700,0.4508,91.01,704,35.69,30.69,9.78,7.98,8.96,2.33,1.6,92.87,37.33,72.93
13420,"Bemidji, Minnesota",45847,50.32,7.59,7.41,6.33,4,13.94,12.52,10.5,10.73,12.31,8.33,4.32,2.02,43.72,9,26.97,9.8,8.69,45923,0.4463,80.6,689,21.89,39.12,14.57,8.33,4.52,3.1,2.34,89.49,41.47,59.91
14660,"Brainerd, Minnesota",92315,49.66,5.64,6.17,6.41,3.63,6.81,10.56,10.36,12.97,15.46,12.85,6.7,2.44,57.19,7.23,23.65,8.05,4.13,52126,0.4455,58.82,755,20.03,32.18,19.4,10.91,6.36,2.25,2.86,93.71,44.42,68.97
20260,"Duluth, Minnesota",235702,49.47,5.21,5.32,5.86,3.34,12.01,11.71,11.07,12.79,15.13,9.73,5.22,2.61,47.99,6.32,27.33,8.77,4.9,52041,0.443,82.54,727,19.82,35.84,19.49,10.82,5.73,2.61,1.61,95.09,36.9,74.35
21860,"Fairmont, Minnesota",20084,50.13,5.17,6.68,6.26,3.63,7.46,10.78,9.83,12.19,15.77,10.65,7.12,4.45,53.82,7.46,20.01,5.02,3.13,53627,0.4356,86.95,593,33.77,30.77,14.64,6.89,2.99,2.58,1.54,93.91,39.71,73.88
22020,"Fargo, Minnesota",62040,50.66,7.08,7.03,5.86,3.8,15.84,13.89,11.61,11.27,10.92,6.44,4.04,2.21,51,5.27,33.23,9.33,2.81,61409,0.4155,91.66,771,17.07,40,18.96,10.57,4.44,1.59,1.03,94.87,28.62,78.89
22060,"Faribault-Northfield, Minnesota",65251,48.99,5.56,6.47,6.32,3.7,14.76,11.34,11.58,13.4,12.45,8.06,4.5,1.85,48.56,9.58,26.75,10.1,3.6,63311,0.4285,92.38,796,21.9,24.05,13.98,9.92,10.67,4.77,1.16,94.68,29.58,77.68
